# Global/data names adopted in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# datamatch-reloc = the same reference alignment after inferring PSX.SYM data
#                   -> demo PSX.EXE data relocation from 323/323 unique anchors;
#                   raw reverse uniqueness and duplicate-static TU checks apply.
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
# The historical ghidra-export batch also contains address-keyed SDK/text labels;
# the source column records provenance rather than asserting storage section.
#addr	name	source	evidence	storage	type
800c6494	GsLIGHT_MODE	datamatch-reloc	VOTES3;PSX=801ea8b8;DEMO=801eac10;WITNESSES=GsInit3D,GsSetLightMode,OBJT2_OBJ_E0	?	?
800c6498	GsCLIP3near	datamatch-reloc	VOTES2;PSX=801ea8bc;DEMO=801eac14;WITNESSES=GsInit3D,GsSetNearClip	?	?
800c6584	GsTON	datamatch-reloc	VOTES33;PSX=801d97e0;DEMO=801d9b38;WITNESSES=GsSortObject4,GsTMDfastF3L,GsTMDfastF3LFG,GsTMDfastF3NL,GsTMDfastF4L,GsTMDfastF4LFG,GsTMDfastF4NL,GsTMDfastG3L,GsTMDfastG3LFG,GsTMDfastG3NL,GsTMDfastG4L,GsTMDfastG4LFG,GsTMDfastG4NL,GsTMDfastNF3,GsTMDfastNF4,GsTMDfastNG3,GsTMDfastNG4,GsTMDfastTF3L,GsTMDfastTF3LFG,GsTMDfastTF3NL,GsTMDfastTF4L,GsTMDfastTF4LFG,GsTMDfastTF4NL,GsTMDfastTG3L,GsTMDfastTG3LFG,GsTMDfastTG3NL,GsTMDfastTG4L,GsTMDfastTG4LFG,GsTMDfastTG4NL,GsTMDfastTNF3,GsTMDfastTNF4,GsTMDfastTNG3,GsTMDfastTNG4	?	?
800c6758	_snd_openflag	datamatch-reloc	VOTES2;PSX=801d62b0;DEMO=801d6608;WITNESSES=SsSeqCalledTbyT,_SsInit	?	?
800c675c	VBLANK_MINUS	datamatch-reloc	VOTES2;PSX=801ea820;DEMO=801eab78;WITNESSES=TEMPO_OBJ_130,_SsInit	?	?
800c6760	_ss_score	datamatch-reloc	VOTES10;PSX=801ea8c0;DEMO=801eac18;WITNESSES=SsSeqCalledTbyT,TEMPO_OBJ_130,_SsGetSeqData,_SsSeqGetEof,_SsSndCrescendo,_SsSndNextSep,_SsSndPause,_SsSndReplay,_SsSndStop,_SsSndTempo	?	?
800c6fe8	_svm_okon1	datamatch-reloc	VOTES5;PSX=801b3ca0;DEMO=801b3ff8;WITNESSES=_SsVmFlush,_SsVmInit,_SsVmKeyOffNow,_SsVmKeyOnNow,vmNoiseOn	?	?
800c6fea	_svm_okon2	datamatch-reloc	VOTES5;PSX=801b3ca2;DEMO=801b3ffa;WITNESSES=_SsVmFlush,_SsVmInit,_SsVmKeyOffNow,_SsVmKeyOnNow,vmNoiseOn	?	?
800c6fec	_svm_orev1	datamatch-reloc	VOTES4;PSX=801b3ca4;DEMO=801b3ffc;WITNESSES=_SsVmFlush,_SsVmInit,_SsVmKeyOnNow,vmNoiseOn	?	?
800c6fee	_svm_orev2	datamatch-reloc	VOTES4;PSX=801b3ca6;DEMO=801b3ffe;WITNESSES=_SsVmFlush,_SsVmInit,_SsVmKeyOnNow,vmNoiseOn	?	?
